Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-04-26,29,29.2,28.3,28.35,6838
2019-04-29,28.4,28.4,27.3,28.05,8187
2019-04-30,28.05,28.05,27.5,27.6,10398
2019-05-02,27.35,27.55,27.2,27.35,14970
2019-05-06,27.1,27.5,26.4,26.7,18797
2019-05-07,27.1,27.4,26.85,26.9,23246
2019-05-08,26.75,28,26.75,28,27073
2019-05-09,27.6,29.05,27.6,28.25,30500
2019-05-10,28.25,28.35,27.65,27.9,23207
2019-05-13,27.9,27.9,27.15,27.15,7771
2019-05-14,27.1,27.95,27.1,27.7,5835
2019-05-15,28,28.5,27.4,28.2,10134
2019-05-16,27.95,28.5,27.2,28.5,26746
2019-05-17,28.5,28.6,28,28.5,7071
2019-05-20,27.95,28.6,27.95,28.2,1359
2019-05-21,27.9,28.55,27.7,28.55,7354
2019-05-22,28.4,28.75,28.25,28.6,3383
2019-05-23,28.85,29.9,28.85,29.15,16602
2019-05-24,29.75,30,29.15,29.65,22503
2019-05-27,29.65,30.8,29.65,30.7,21936
2019-05-28,31,31.8,30.9,31.5,10665
2019-05-29,32,32,30.4,30.6,8034
2019-05-30,30.65,30.9,30.2,30.25,35480
2019-05-31,30.15,30.15,28.75,29.75,22738
2019-06-03,29.8,30.4,29.8,30,11295
2019-06-04,30.1,30.1,29,29.5,7612
2019-06-05,29.5,29.75,28.7,29.75,5461
2019-06-06,29.75,30.4,29.5,29.8,7343
2019-06-07,29.75,30.3,29.5,29.5,4622
2019-06-10,29.5,29.8,29.15,29.45,4549
2019-06-11,30,30,29.35,29.75,4571
2019-06-12,29.75,30.15,29.75,29.95,2807
2019-06-13,30.6,31,29.75,29.75,12030
2019-06-14,29.8,30.45,29.7,29.9,7286
2019-06-17,29.9,30.1,29.9,29.9,91994
2019-06-18,30.6,30.6,30,30.6,9745
2019-06-19,30.5,31,30.5,30.7,3053
2019-06-21,31,31.1,29.25,30.1,11413
2019-06-24,30.4,30.4,30.1,30.1,2824
2019-06-25,30.4,30.4,29.6,30,3967
2019-06-26,30,30,29.65,29.9,2256
2019-06-27,29.9,29.95,29.9,29.95,3585
2019-06-28,30,30,29.65,29.9,3733
2019-07-01,29.9,30.55,29.65,30.55,12622
2019-07-02,30.6,30.6,30.2,30.5,848
2019-07-03,30.95,30.95,30.5,30.9,8389
2019-07-04,30.95,32,30.65,31.85,9875
2019-07-05,32,33.45,32,32,11295
2019-07-08,33.25,33.25,31.8,31.95,14768
2019-07-09,32,32.85,30.9,31.2,108514
2019-07-10,31.2,31.65,30.5,31.15,110320
2019-07-11,31,32.8,30.85,32.8,6762
2019-07-12,32.4,32.7,31.65,31.9,18057
2019-07-15,32.3,32.7,32.3,32.5,1186
2019-07-16,32.5,32.6,32,32.05,1527
2019-07-17,32,32.45,31.65,31.65,2443
2019-07-18,31.65,32,31.45,32,737
2019-07-19,32.55,32.7,32.2,32.6,4313
2019-07-22,32.8,33.35,32.5,32.9,32398
2019-07-23,33,33,32.5,32.75,2417
2019-07-24,32.9,32.9,32,32,3183
2019-07-25,29.95,29.95,27,28,81981
2019-07-26,28,28,24.35,24.85,73517
2019-07-29,24,25.5,24,25,17702
2019-07-30,25.1,25.65,25.1,25.5,2894
2019-07-31,27,27,25.8,26.5,17437
2019-08-01,26.5,27.15,25.8,26.1,11183
2019-08-02,26.2,26.9,25.9,26.55,3613
2019-08-05,26.6,26.6,25.8,25.8,3735
2019-08-06,25.8,26.5,25.8,26.05,4862
2019-08-07,25.9,26.95,25.9,26.1,4649
2019-08-08,26.4,26.45,25.9,26,5688
2019-08-09,26,26.5,26,26.5,3341
2019-08-12,26.1,26.15,25.7,25.95,1552
2019-08-13,25.1,25.6,24.2,25.4,11934
2019-08-14,25.55,25.55,24.9,25.2,134730
2019-08-16,25.2,25.3,24.8,25,4209
2019-08-19,24.65,25.25,24.6,25.2,3564
2019-08-20,25,25.2,24.35,24.9,2832
2019-08-21,24.2,25.1,24.2,24.8,1281
2019-08-22,24.8,25.65,24.7,25,4882
2019-08-23,25.3,25.3,24.55,24.85,6334
2019-08-26,24.1,25.45,24.1,25,13126
2019-08-27,25,25.2,24.5,24.95,8037
2019-08-28,25.2,25.2,24.3,24.3,1345
2019-08-29,25,25,24.2,25,977
2019-08-30,24.95,25,24.4,25,3335
2019-09-02,25,25.15,24.7,25,589
